Course ID,Required Course
ARTG 3186,ARTM 2105
ARTG 3408,ARTG 3183
ARTG 3408,ARTG 3184
ARTG 4180,ARTG 3183
ARTG 4180,ARTG 3184
ARTG 4180,ARTG 3186
ARTG 4182,ARTG 3183
ARTG 4182,ARTG 3184
ARTG 4182,ARTG 3185
ARTG 4182,ARTG 3186
ARTG 4982,ARTG 3185
ARTG 4982,ARTG 4180
ARTG 4982,ARTG 4182
ARTG 4982,ARTM 3205
ARTH 2003,ARTH 1212
ARTH 2140,ARTH 1211
ARTH 3114,ARTH 1211
ARTH 3114,ARTH 1212
ARTH 3114,ARTH 2110
ARTH 3114,ARTH 2614
ARTH 3115,ARTH 1211
ARTH 3115,ARTH 1212
ARTH 3115,ARTH 2110
ARTH 3115,ARTH 2614
ARTH 3121,ARTH 1211
ARTH 3121,ARTH 1212
ARTH 3318,ARTH 1212
ARTH 3320,ARTH 1211
ARTH 3322,ARTH 1211
ARTH 3323,ARTH 1211
ARTH 3324,ARTH 1211
ARTH 3328,ARTH 1212
ARTH 3350,ARTH 1212
ARTH 3351,ARTH 1212
ARTH 3360,ARTH 1212
ARTH 3381,ARTH 1212
ARTH 3393,ARTH 1212
ARTH 3395,ARTH 2110
ARTH 3694,ARTH 1212
ARTH 4601,ARTH 3114
ARTH 4601,ARTH 3318
ARTH 4602,ARTH 3114
ARTH 4602,ARTH 3121
ARTH 4602,ARTH 3328
ARTH 4602,ARTH 3395
ARTH 4603,ARTH 3114
ARTH 4603,ARTH 3320
ARTH 4603,ARTH 3322
ARTH 4603,ARTH 3323
ARTH 4603,ARTH 3324
ARTH 4605,ARTH 3114
ARTH 4605,ARTH 3350
ARTH 4605,ARTH 3351
ARTH 4605,ARTH 3360
ARTH 4609,ARTH 3114
ARTH 4609,ARTH 3393
ARTH 4700,ARTH 3115
ARTL 3086,ARTB 1203
ARTL 3185,ARTB 1201
ARTL 3185,ARTB 1202
ARTL 3185,ARTB 1203
ARTL 3185,ARTB 1204
ARTL 3186,ARTL 2186
ARTL 3186,ARTA 3201
ARTL 3187,ARTA 3201
ARTL 3187,ARTL 2186
ARTL 3188,ARTA 3201
ARTL 3188,ARTL 2186
ARTL 3286,ARTA 3201
ARTL 3286,ARTL 2186
ARTL 4981,ARTA 3201
ARTM 2105,ARTB 1201
ARTM 2105,ARTB 1202
ARTM 2105,ARTB 1203
ARTM 2105,ARTB 1204
