Course ID,Required Course
MUPF 3446,MUSC 3300
MUPF 3447,MUSC 3300
MUPF 3448,MUSC 3300
MUPF 3449,MUSC 3300
MUPF 3450,MUSC 3300
MUPF 3451,MUSC 3300
MUPF 3452,MUSC 3300
MUPF 3453,MUSC 3300
MUPF 3454,MUSC 3300
MUPF 3455,MUSC 3300
MUPF 3456,MUSC 3300
MUPF 3457,MUSC 3300
MUPF 3458,MUSC 3300
MUPF 3459,MUSC 3300
MUPF 3460,MUSC 3300
MUPF 3461,MUSC 3300
MUPF 3462,MUSC 3300
MUPF 3463,MUSC 3300
MUPF 3464,MUSC 3300
MUPF 3465,MUSC 3300
MUPF 3466,MUSC 3300
MUPF 4440,MUSC 3300
MUPF 4441,MUSC 3300
MUPF 4442,MUSC 3300
MUPF 4444,MUSC 3300
MUPF 4445,MUSC 3300
MUPF 4446,MUSC 3300
MUPF 4447,MUSC 3300
MUPF 4448,MUSC 3300
MUPF 4449,MUSC 3300
MUPF 4450,MUSC 3300
MUPF 4451,MUSC 3300
MUPF 4452,MUSC 3300
MUPF 4453,MUSC 3300
MUPF 4454,MUSC 3300
MUPF 4455,MUSC 3300
MUPF 4456,MUSC 3300
MUPF 4457,MUSC 3300
MUPF 4458,MUSC 3300
MUPF 4459,MUSC 3300
MUPF 4460,MUSC 3300
MUPF 4461,MUSC 3300
MUPF 4462,MUSC 3300
MUPF 4463,MUSC 3300
MUPF 4464,MUSC 3300
MUPF 4465,MUSC 3300
MUPF 4466,MUSC 3300
NURS 3105,NURS 3108
NURS 3230,NURS 3430
NURS 3250,NURS 3440
NURS 3260,NURS 3440
NURS 3425,NURS 3105
NURS 3425,NURS 3108
NURS 4120,NURS 4420
NURS 4130,NURS 4430
NURS 4203,NURS 4450
NURS 4240,NURS 4440
NURS 4420,NURS 4120
NURS 4430,NURS 4130
NURS 4440,NURS 4240
NURS 4450,NURS 4203
NURS 4600,NURS 4203
NURS 4600,NURS 4900
PHYS 1201L,PHYS 1201
PHYS 1203L,PHYS 1203
HLTH 3104L,HLTH 3104
HLTH 4105L,HLTH 4105
SECD 4140,MDSK 3151
SECD 4452,MDSK 4150
SECD 4453,MDSK 4150
SECD 4454,MDSK 4150
SOCY 3155,SOCY 3155L
SOCY 3155L,SOCY 3155
SOCY 3755,SOCY 3755L
SOCY 3755L,SOCY 3755
SOCY 4156,SOCY 4156L
SOCY 4156L,SOCY 4156
SOCY 4756,SOCY 4756L
SOCY 4756L,SOCY 4756
ITIS 1350,ITIS 1350L
ITIS 1350L,ITIS 1350
ITIS 2110,ITIS 2110L
ITIS 2110L,ITIS 2110
SPAN 2105,SPAN 2201
SPAN 2106,SPAN 2202
SPAN 2201,SPAN 2105
SPAN 2202,SPAN 2106
SPED 4271,SPED 3100
SPED 4400,SPED 4277
THEA 1260L,THEA 1235
THEA 4640,THEA 3400
